"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","자본금의규모","사업자등록번호",
"195","후원방문판매업체","08_26_05_P","6260000","20206260000301000214","2020-12-16","","03","폐업","4","폐업","2024-12-26","","","","","","49502","부산광역시 사하구 다대동  ***번지 *호","부산광역시 사하구 다대로***번길 **-* (다대동)","","인셀덤 칸 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","379673.579172651","174544.244652845","후원방문판매업","0","7603000884",
"196","후원방문판매업체","08_26_05_P","6260000","20206260000301000216","2020-12-16","","03","폐업","4","폐업","2024-12-26","","","","","","48275","부산광역시 수영구 민락동  ***번지 **호 민락동센텀메르빌아파트 ***동 ****호","부산광역시 수영구 광안해변로 ***, ***동 ****호 (민락동, 민락동 센텀메르빌 아파트)","","인셀덤 보람","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","394015.311916103","186750.624706441","후원방문판매업","0","3041306226",
"197","후원방문판매업체","08_26_05_P","6260000","20216260000301000002","2021-01-21","","03","폐업","4","폐업","2024-12-26","","","","","","47710","부산광역시 동래구 온천동  ****번지 *호 온천삼정그린코아더베스트 ***동 ****호","부산광역시 동래구 중앙대로****번길 **, ***동 ****호(온천동, 온천 삼정그린코아 더베스트)","","매력적인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389697.999211384","193116.818529172","후원방문판매업","0","4246300346",
"198","후원방문판매업체","08_26_05_P","6260000","20216260000301000007","2021-01-21","","03","폐업","4","폐업","2024-12-26","","","","","","47904","부산광역시 동래구 안락동  ****번지 *호 안락뜨란채*단지아파트 ***동 ****호","부산광역시 동래구 연안로 **, ***동 ****호 (안락동, 안락뜨란채*단지아파트)","","인셀덤 동래점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392071.6197892","190245.241017626","후원방문판매업","0","7542401140",
"199","후원방문판매업체","08_26_05_P","6260000","20216260000301000010","2021-01-21","","03","폐업","4","폐업","2024-12-26","","","","","","49233","부산광역시 서구 서대신동*가  **번지 *호","부산광역시 서구 부용로 **-** (서대신동*가)","","인셀덤 벨라 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","383829.902149483","180612.06244123","후원방문판매업","0","5884600639",
"200","후원방문판매업체","08_26_05_P","6260000","20216260000301000012","2021-01-21","","03","폐업","4","폐업","2024-12-26","","","","","","47348","부산광역시 부산진구 범천동  ****번지 *호 e편한세상서면더센트럴 ***동 ****호","부산광역시 부산진구 신암로 ***, ***동 ****호(범천동, e편한세상 서면 더센트럴)","","브이스타(V스타)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","386691.13201286","185556.097572644","후원방문판매업","0","8215600476",
"201","후원방문판매업체","08_26_05_P","6410000","20226410000301100665","2022-06-14","","03","폐업","4","폐업","2025-12-31","","","","","","14704","경기도 부천시 소사본동  **번지 *호 *층 일부호","경기도 부천시 경인옛로**번길 *, *층 일부호(소사본동)","","인셀덤(노블레스리치)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","","","후원방문판매업","0","2023201417",
"202","후원방문판매업체","08_26_05_P","6260000","20226260000301000067","2022-05-16","","03","폐업","4","폐업","2024-12-26","","","","","","49234","부산광역시 서구 서대신동*가  **번지 *호 오현예다움 ***호","부산광역시 서구 구덕로***번길 **-*, ***호(서대신동*가, 오현 예다움)","","그라시아","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","383752.851543875","180937.34105082","후원방문판매업","0","1820902114",
"203","후원방문판매업체","08_26_05_P","6410000","20226410000301100355","2022-04-28","","03","폐업","4","폐업","2025-12-31","","","","","","18527","경기도 화성시 팔탄면 구장리 ***번지 *호 *동 ***호","경기도 화성시 팔탄면 서촌길**번길 **, *동 ***호","","순 美 뷰티","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","191288.37255415","406721.585323688","후원방문판매업","0","5013728905",
"204","후원방문판매업체","08_26_05_P","6260000","20206260000301000225","2020-04-21","","03","폐업","4","폐업","2024-12-24","","","","","","46769","부산광역시 강서구 동선동  ***번지 **호","부산광역시 강서구 동선길 **-** (동선동)","","인셀덤진","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","367156.891610697","174334.708298714","후원방문판매업","0","1132869046",
"205","후원방문판매업체","08_26_05_P","6260000","20236260000301000066","2023-10-11","","03","폐업","4","폐업","2024-12-26","","","","","","","부산광역시 연제구 연산동  ***번지 *호","부산광역시 연제구 과정로***번길 * (연산동)","","샬롬인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","391902.059624607","188958.107942836","후원방문판매업","0","3762100538",
"206","후원방문판매업체","08_26_05_P","6260000","20236260000301000068","2023-11-30","","03","폐업","4","폐업","2024-12-26","","","","","","46025","부산광역시 기장군 정관읍 달산리 ****번지 *호 정관신도시엘에이치*단지 ***동 ****호","부산광역시 기장군 정관읍 산단*로 **, ***동 ****호 (정관신도시 엘에이치 *단지)","","여은 셀리진","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","398716.499369453","204309.212704419","후원방문판매업","0","5307700347",
"207","후원방문판매업체","08_26_05_P","6260000","20246260000301000034","2024-11-19","","03","폐업","4","폐업","2024-12-26","","","","","","","부산광역시 영도구 영선동*가  ***번지 **호 영선동반도보라아파트","부산광역시 영도구 해안산책길 **, ***동 ****호 (영선동*가, 영선동반도보라아파트)","","바다인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","385988.199661499","177788.67600919","후원방문판매업","0","5994800934",
"208","후원방문판매업체","08_26_05_P","6260000","20246260000301000035","2024-11-19","","03","폐업","4","폐업","2024-12-26","","","","","","49275","부산광역시 서구 암남동  ***번지 *호 송도풍림아이원","부산광역시 서구 암남공원로 **, ***동 ****호 (암남동, 송도 풍림아이원)","","에릭 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","383839.515606446","176734.264052777","후원방문판매업","0","5435600902",
"209","후원방문판매업체","08_26_05_P","6410000","20216410000301100826","2021-10-20","","03","폐업","4","폐업","2025-12-31","","","","","","10450","경기도 고양시 일산동구 백석동  ****번지 *호 일산요진와이시티 ***동 ****호","경기도 고양시 일산동구 강송로 **, ***동 ****호(백석동, 일산 요진 와이시티)","","인셀덤백석점","2026-01-12 00:00:00","U","2026-01-14 02:40:00","","181637.189249099","460029.013400211","후원방문판매업","0","5854100843",
"210","후원방문판매업체","08_26_05_P","6410000","20216410000301100327","2021-05-28","","03","폐업","4","폐업","2026-01-02","","","","","","10083","경기도 김포시 장기동  ****번지 *호 운창빌딩 가동 ***호","경기도 김포시 김포한강*로**번길 **, 운창빌딩 가동 ***호 (장기동)","","인셀덤 한강신도시점","2026-01-12 00:00:00","U","2026-01-14 02:40:00","","170587.580947315","460208.177095913","후원방문판매업","0","8377800245",
"211","후원방문판매업체","08_26_05_P","6480000","20256480000301000005","2025-06-30","","01","영업/정상","2","영업","","","","","","","52851","경상남도 진주시 충무공동  **번지 *호 라온스테이인페를라*차 ***호","경상남도 진주시 영천강로 ***, 라온스테이인페를라*차 ***호 (충무공동)","","라비다샵 진주중앙","2026-01-12 00:00:00","U","2026-01-14 02:40:00","","303729.141361224","187177.100036899","후원방문판매업","0","8782302341",
"212","후원방문판매업체","08_26_05_P","6480000","20136480000301000168","2013-08-08","","03","폐업","4","폐업","2025-12-31","","","","0552559907","","641-849","경상남도 창원시 의창구 팔용동  ***번지 *호 현대메디칼센터 *층 아모레","경상남도 창원시 의창구 의창대로 **, *층 (팔용동,현대메디칼센터*층아모레)","","아모레 창원덕보특약점","2026-01-12 00:00:00","U","2026-01-14 02:40:00","","346285.384067815","196540.216204631","후원방문판매업","0","6095586275",
"213","후원방문판매업체","08_26_05_P","6280000","20136280000301000003","2013-07-03","","03","폐업","4","폐업","2026-01-13","","","","0328651601","","22329","인천광역시 중구 신흥동*가  *번지 *호 대성신용협동조합","인천광역시 중구 서해대로***번길 *-*, *층 (신흥동*가,대성신협)","","중구상사","2026-01-13 00:00:00","U","2026-01-15 02:40:00","","167682.685581285","440534.743178329","후원방문판매업","0","1211672632",
"214","후원방문판매업체","08_26_05_P","6110000","20186110000301000019","2018-06-20","","01","영업/정상","2","영업","","","","","0269800701","","04637","서울특별시 중구 남대문로*가  ***번지 *호 LG서울역빌딩","서울특별시 중구 후암로 **, LG서울역빌딩 (남대문로*가)","","(주)엘지생활건강","2026-01-13 00:00:00","U","2026-01-15 02:40:00","","197705.803798015","450180.019066426","후원방문판매업","0","",
"215","후원방문판매업체","08_26_05_P","6410000","20266410000301100001","2026-01-14","","01","영업/정상","BBBB","영업","","","","","0318683692","","11347","경기도 동두천시 지행동  ***번지 *호 영스포렉스 ***호","경기도 동두천시 중앙로 ***, 영스포렉스 ***호 (지행동)","","럭셔리뷰티 동두천점","2026-01-14 00:00:00","I","2026-01-16 00:20:02","","204477.938349617","487797.24990714","후원방문판매업","0","4505100997",
"216","후원방문판매업체","08_26_05_P","6260000","20236260000301000048","2023-06-08","","04","취소/말소/만료/정지/중지","6","직권말소","","","","","","","46016","부산광역시 기장군 정관읍 용수리 ****번지 *호 정관신도시한진해모로 ****동 ***호","부산광역시 기장군 정관읍 정관로 ***, ****동 ***호 (정관신도시 한진해모로)","","셀리진화장품","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","397511.005969429","204613.609929278","후원방문판매업","0","6785800672",
"217","후원방문판매업체","08_26_05_P","6260000","20206260000301000049","2020-03-19","","04","취소/말소/만료/정지/중지","6","직권말소","","","","","","","46539","부산광역시 북구 화명동  ****번지 *호 롯데캐슬카이저 ***동 ****호","부산광역시 북구 금곡대로 ***, ***동 ****호 (화명동, 롯데캐슬카이저)","","로즈인셀덤","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","383053.136267605","193324.585009308","후원방문판매업","0","3982201024",
"218","후원방문판매업체","08_26_05_P","6260000","20206260000301000119","2020-05-19","","04","취소/말소/만료/정지/중지","6","직권말소","","","","","","","47362","부산광역시 부산진구 범천동  ***번지 *호 두산위브센티움 ****호","부산광역시 부산진구 자유평화로**번길 **, ****호 (범천동, 두산위브센티움)","","드림인셀덤","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","387888.649317348","184739.05836488","후원방문판매업","0","3212300871",
"219","후원방문판매업체","08_26_05_P","6260000","20206260000301000110","2020-05-19","","04","취소/말소/만료/정지/중지","6","직권말소","","","","","","","48068","부산광역시 해운대구 송정동  ***번지 **호 럭스빌비치 ***호","부산광역시 해운대구 송정*로*번길 **, ***호 (송정동, 럭스빌비치)","","인셀덤 미쓰노","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","400334.726520726","189343.56047726","후원방문판매업","0","4967400269",
"220","후원방문판매업체","08_26_05_P","6260000","20216260000301000105","2021-08-18","","04","취소/말소/만료/정지/중지","6","직권말소","","","","","","","46631","부산광역시 북구 구포동  ***번지 ***호 ***호","부산광역시 북구 시랑로 **, *층 ***호(구포동)","","코코(coco)대리점","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","382462.84434411","191043.430553743","후원방문판매업","0","4056900522",
"221","후원방문판매업체","08_26_05_P","6280000","20226280000301000361","2022-12-22","","01","영업/정상","2","영업","","","","","0322630007","","22324","인천광역시 중구 답동  **번지 *호 ***호","인천광역시 중구 제물량로 ***, *층 ***호 (답동)","","럭셔리 뷰티 서인천점","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","167135.033304987","440837.510042333","후원방문판매업","0","4943901086",
"222","후원방문판매업체","08_26_05_P","6260000","20216260000301000060","2021-05-17","","04","취소/말소/만료/정지/중지","6","직권말소","","","","","","","47847","부산광역시 동래구 온천동  ****번지 **호 삼성빌라 ***호","부산광역시 동래구 석사북로**번길 **-**, ***호 (온천동, 삼성빌라)","","인셀덤 아우라","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","387864.966233094","191784.980567012","후원방문판매업","0","2230966724",
"223","후원방문판매업체","08_26_05_P","6260000","20216260000301000081","2021-06-16","","04","취소/말소/만료/정지/중지","6","직권말소","","","","","","","46022","부산광역시 기장군 정관읍 방곡리 ***번지 *호 정관가화만사성더테라스*차 ***호","부산광역시 기장군 정관읍 구연방곡로 ***, ***호(정관 가화만사성 더 테라스 *차)","","인셀덤원더","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","399038.764352432","204726.996683244","후원방문판매업","0","7010802015",
"224","후원방문판매업체","08_26_05_P","6260000","20136260000301000003","2013-07-24","","04","취소/말소/만료/정지/중지","6","직권말소","","","","","","","617-835","부산광역시 사상구 주례동  ***번지 *호","부산광역시 사상구 가야대로***번길 ** (주례동)","","쥬단학사상대리점","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","382847.827194596","185274.618577562","후원방문판매업","0","6063575785",
"225","후원방문판매업체","08_26_05_P","6410000","20226410000301100929","2022-09-20","","03","폐업","4","폐업","2025-12-31","","","","","","17038","경기도 용인시 처인구 포곡읍 금어리 ***번지 *호 신아연립 *동 ***호","경기도 용인시 처인구 포곡읍 금어로 ***-*, *동 ***호(신아연립)","","다찬 인셀덤","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","220003.768128052","418305.473213058","후원방문판매업","0","6042862684",
"226","후원방문판매업체","08_26_05_P","6410000","20226410000301100737","2022-07-18","","03","폐업","4","폐업","2025-12-31","","","","","","17079","경기도 용인시 기흥구 보라동  ***번지 *호 민속마을현대모닝사이드아파트 ***동 ***호","경기도 용인시 기흥구 사은로***번길 **, ***동 ***호(보라동, 민속마을 현대모닝사이드 아파트)","","시온","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","210559.601231944","416552.733806702","후원방문판매업","0","1054063285",
"227","후원방문판매업체","08_26_05_P","6260000","20236260000301000073","2023-12-28","","04","취소/말소/만료/정지/중지","6","직권말소","","","","","","","46219","부산광역시 금정구 남산동  **번지 **호 한주허브빌 ***호","부산광역시 금정구 범어천로**번길 **-*, ***호 (남산동, 한주허브빌)","","셀리진 클로이","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","390138.67981573","198798.504485329","후원방문판매업","0","4820103230",
"228","후원방문판매업체","08_26_05_P","6280000","20266280000301000001","2026-01-15","","01","영업/정상","BBBB","영업","","","","","","","","인천광역시 중구 신흥동*가  *번지 *호 대성신용협동조합","인천광역시 중구 서해대로***번길 *-*, 대성신용협동조합 *층 (신흥동*가)","","중구지사","2026-01-15 00:00:00","I","2026-01-17 00:20:02","","167682.685581285","440534.743178329","후원방문판매업","0","4340703529",
"229","후원방문판매업체","08_26_05_P","6280000","20266280000301000002","2026-01-15","","01","영업/정상","BBBB","영업","","","","","","","21909","인천광역시 연수구 선학동  ***번지 *호 선학프라자*층 ***호","인천광역시 연수구 학나래로***번길 *, 선학프라자 *층 ***호 (선학동)","","라비다샵 연수2호점","2026-01-15 00:00:00","I","2026-01-17 00:20:02","","173239.747269354","436275.296029206","후원방문판매업","0","1481802794",
